Entrez Gene id	Prediction confidence (1 for BKZ HDFs)
8407	1
5718	1
81876	1
9026	1
51366	1
10001	1
7030	1
2107	1
51150	1
2275	1
672	1
9442	1
55749	1
5426	1
9575	1
10657	1
5862	1
23474	1
29079	1
5546	1
7471	1
338	1
1650	1
5899	1
8087	1
7852	1
9477	1
5885	1
8431	1
10621	1
9253	1
3337	1
84643	1
10542	1
5441	1
27258	1
5213	1
2889	1
150094	1
2073	1
3065	1
5684	1
57649	1
613	1
6311	1
4790	1
65264	1
9612	1
10291	1
10921	1
3937	1
65125	1
4722	1
6271	1
7324	1
6921	1
51520	1
4928	1
1289	1
29984	1
649	1
1950	1
23365	1
6048	1
207	1
23193	1
4139	1
4218	1
8711	1
10075	1
8600	1
506	1
7514	1
83548	1
1785	1
10978	0.893843
51585	0.893843
83443	0.893664
84844	0.893664
23451	0.893663
57794	0.893663
3191	0.893502
53981	0.891573
1477	0.891256
22826	0.891148
3188	0.89041
10907	0.888276
8175	0.888272
4799	0.886453
1479	0.88589
51692	0.885752
10949	0.88557
9295	0.884895
8683	0.884212
9410	0.883806
9128	0.883427
3181	0.883071
134353	0.882761
10914	0.882596
6432	0.882497
220988	0.882351
8106	0.881988
10189	0.881882
5094	0.881509
6430	0.881442
10025	0.881005
29894	0.880385
6629	0.879989
10250	0.879855
6429	0.87943
7307	0.87885
10236	0.878619
10946	0.878262
4809	0.876837
6632	0.876314
56339	0.876129
6635	0.874843
79869	0.874689
22916	0.874637
9939	0.874635
5433	0.873735
6636	0.873534
51639	0.873477
90390	0.873036
11100	0.871859
6428	0.871556
27316	0.869122
29974	0.868641
10262	0.867226
5436	0.86676
4116	0.866162
892	0.866153
6633	0.865676
5431	0.864575
84967	0.864285
1478	0.863761
9969	0.863702
7884	0.863237
9343	0.862724
5435	0.862406
23020	0.862111
6637	0.861338
57819	0.860769
9818	0.860063
129401	0.860063
8086	0.860063
5725	0.859454
23450	0.859262
5434	0.858594
6628	0.857914
9439	0.857299
8731	0.856375
8732	0.856033
9968	0.855863
6827	0.855526
4686	0.854881
7469	0.854294
11097	0.853332
11051	0.853071
8243	0.852973
3184	0.852403
23511	0.851796
2963	0.851654
4927	0.850782
25888	0.850283
3178	0.850045
1660	0.849432
23225	0.847928
6625	0.846675
6875	0.846398
6426	0.844295
2521	0.841199
53371	0.840783
11338	0.840609
905	0.840453
1024	0.839987
10421	0.8399
25920	0.838849
84246	0.838774
6884	0.837006
6877	0.836753
54539	0.835556
55967	0.835556
4718	0.835555
4712	0.835555
4724	0.835555
4708	0.835555
4696	0.835555
4728	0.835555
4709	0.835555
4717	0.835555
126328	0.835555
4702	0.835555
4707	0.835555
4706	0.835555
4695	0.835555
4725	0.835555
4711	0.835555
4720	0.835555
4670	0.834667
7936	0.834148
5711	0.833136
4698	0.832796
339	0.832325
2960	0.832172
11198	0.831765
4731	0.830965
4729	0.830747
4723	0.830623
23165	0.830303
3183	0.830148
522	0.829771
516	0.829771
514	0.829771
521	0.829771
5690	0.829312
3192	0.828942
7388	0.828916
1537	0.828915
10975	0.828915
29796	0.828915
4701	0.827549
7175	0.827532
4716	0.826684
5696	0.826629
8480	0.826581
81929	0.826201
348995	0.8262
5699	0.825865
3190	0.825689
7381	0.825626
7350	0.825588
4714	0.825545
10476	0.825356
5715	0.8248
2961	0.824782
27089	0.824225
4704	0.824081
25909	0.824062
4697	0.824057
79023	0.823195
4694	0.822972
7385	0.822405
81857	0.822149
2958	0.822057
4719	0.821466
51079	0.820588
513	0.820305
7351	0.820215
7352	0.820215
3033	0.817985
515	0.817606
9862	0.817604
6883	0.816571
8178	0.816151
6878	0.8154
55055	0.815272
91687	0.815272
55839	0.815272
55166	0.815272
79019	0.815272
1060	0.815271
2491	0.815271
401541	0.815271
3796	0.815271
147841	0.815271
378708	0.815271
348235	0.815271
5695	0.814371
5692	0.814214
6882	0.814188
10632	0.814028
51808	0.813703
