Creation Time:	2023-01-03 12:45:43

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b1_real.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/random.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	70750154

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1726
Proportion perturbed genes:	0.30006954102920724

OUTPUT:
Learnt parameters:
alpha (FPR):	0.30000000000000004
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3515.421080027584 +- 4.547473508864641e-13

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
99	54	22	0.00036	0.00108	1.258e+03	0.557	0.453	GO:0002687
100	43	18	0.00035	0.00088	7.897e+02	0.563	0.517	GO:0048863
101	23	9	0.00034	0.00087	2.406e+02	0.519	0.257	GO:0043489
102	31	13	0.00034	0.00056	4.141e+02	0.594	0.311	GO:0045668
103	29	10	0.00034	0.00101	4.051e+02	0.397	0.629	GO:0008156
104	74	30	0.00034	0.00102	2.355e+03	0.544	0.484	GO:0002504
105	48	19	0.00034	0.00101	1.014e+03	0.559	0.494	GO:0002698
106	23	10	0.00034	0.00075	2.256e+02	0.533	0.48	GO:0071622
107	38	14	0.00033	0.00066	6.651e+02	0.5	0.539	GO:0048814
108	23	10	0.00032	0.00046	2.256e+02	0.55	0.484	GO:0060397
109	22	9	0.00031	0.00063	2.147e+02	0.536	0.618	GO:0035567
110	46	20	0.00031	0.00081	8.814e+02	0.583	0.507	GO:0008306
111	27	10	0.00031	0.00094	3.393e+02	0.519	0.542	GO:0035637
112	27	11	0.0003	0.00091	3.214e+02	0.54	0.439	GO:0040018
113	24	11	0.0003	0.0009	2.366e+02	0.537	0.553	GO:0046579
114	37	15	0.0003	0.00063	5.985e+02	0.534	0.554	GO:0007249
115	24	11	0.00029	0.00088	2.366e+02	0.529	0.487	GO:0051058
116	37	14	0.00029	0.00079	6.223e+02	0.522	0.409	GO:0001657
117	26	10	0.00029	0.00052	3.084e+02	0.491	0.457	GO:0003156
118	30	11	0.00029	0.00084	4.191e+02	0.525	0.589	GO:0071377
119	20	7	0.00029	0.00067	1.947e+02	0.518	0.509	GO:0086002
120	28	11	0.00028	0.00084	3.523e+02	0.553	0.451	GO:0006626
121	21	8	0.00028	0.00081	2.047e+02	0.55	0.578	GO:0070534
122	25	9	0.00028	0.00055	2.964e+02	0.475	0.539	GO:0001890
123	26	10	0.00027	0.00065	3.084e+02	0.577	0.355	GO:0051282
124	22	9	0.00027	0.00054	2.147e+02	0.603	0.445	GO:0001914
125	29	10	0.00027	0.0006	4.051e+02	0.475	0.526	GO:0006497
126	26	9	0.00027	0.00065	3.263e+02	0.561	0.609	GO:0046638
127	34	14	0.00027	0.00046	5.018e+02	0.555	0.469	GO:0050709
128	21	9	0.00026	0.00046	1.907e+02	0.542	0.403	GO:0006270
129	21	7	0.00026	0.00058	2.196e+02	0.519	0.56	GO:0061337
130	20	8	0.00026	0.00044	1.807e+02	0.576	0.493	GO:0071353
131	41	17	0.00026	0.0005	7.230e+02	0.57	0.324	GO:0046165
132	28	10	0.00026	0.00052	3.712e+02	0.487	0.57	GO:0072384
133	20	9	0.00026	0.00077	1.678e+02	0.523	0.471	GO:1903018
134	30	12	0.00026	0.00051	3.992e+02	0.579	0.449	GO:0002753
135	20	8	0.00026	0.00067	1.807e+02	0.636	0.413	GO:0045687
136	64	26	0.00025	0.00058	1.764e+03	0.525	0.558	GO:0035023
137	24	8	0.00024	0.00073	2.845e+02	0.478	0.407	GO:0021954
138	29	11	0.00024	0.00043	3.852e+02	0.603	0.401	GO:0014015
139	62	26	0.00024	0.00043	1.626e+03	0.532	0.517	GO:0072091
140	22	8	0.00023	0.00061	2.296e+02	0.562	0.502	GO:0014072
141	21	7	0.00023	0.0007	2.196e+02	0.562	0.555	GO:0035115
