Creation Time:	2023-01-03 00:42:35

INPUT:
File name:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/result/real/crfe_v019_b1.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/real/adeno_symbol.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	2
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	4291494016

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	1390
Total number of genes:	5752
Number of perturbed genes:	1397
Proportion perturbed genes:	0.24287204450625868

OUTPUT:
Learnt parameters:
alpha (FPR):	0.225
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-3184.9757777238474 +- 1.0204843514918027

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
75	20	9	0.00811	0.00785	1.678e+02	1.545	0.725	GO:0086002
76	43	17	0.00789	0.00601	8.167e+02	2.03	0.484	GO:0022403
77	72	28	0.00766	0.00727	2.284e+03	2.2	0.48	GO:0060759
78	28	13	0.00717	0.00974	3.175e+02	3.022	0.375	GO:0007566
79	46	18	0.0068	0.01386	9.382e+02	2.073	0.572	GO:2000106
80	46	19	0.0066	0.00867	9.094e+02	2.191	0.508	GO:0006987
81	29	14	0.00643	0.00692	3.315e+02	2.763	0.38	GO:0006094
82	42	18	0.00634	0.0096	7.431e+02	2.573	0.427	GO:0043542
83	29	12	0.00626	0.00425	3.663e+02	2.198	0.495	GO:0071277
84	31	12	0.00624	0.00783	4.341e+02	2.401	0.375	GO:0031214
85	67	26	0.00622	0.00605	1.983e+03	2.192	0.477	GO:0001959
86	21	9	0.00606	0.00829	1.907e+02	1.746	0.697	GO:0061337
87	75	29	0.00557	0.00756	2.485e+03	2.351	0.448	GO:0042542
88	58	23	0.00542	0.01164	1.473e+03	1.866	0.596	GO:0072401
89	26	11	0.00534	0.00579	2.915e+02	2.613	0.364	GO:0048286
90	24	10	0.00512	0.00488	2.516e+02	1.811	0.661	GO:0006890
91	84	34	0.00502	0.01505	3.032e+03	1.723	0.611	GO:0051340
92	28	10	0.00475	0.00682	3.713e+02	1.965	0.412	GO:0030199
93	57	23	0.00464	0.01075	1.409e+03	1.867	0.596	GO:0006977
94	49	20	0.00451	0.00506	1.038e+03	2.779	0.348	GO:0007569
95	22	9	0.00438	0.00533	2.147e+02	1.901	0.578	GO:0006213
96	44	17	0.00437	0.00375	8.655e+02	2.283	0.496	GO:0070301
97	44	18	0.00431	0.00642	8.377e+02	2.681	0.391	GO:0014068
98	52	19	0.00417	0.00486	1.241e+03	2.257	0.356	GO:0032943
