Creation Time:	2022-12-29 18:37:42

INPUT:
File name:	crfe_v018.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_10_seed_20.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.3548387096774194
Maximal possible value for alpha and beta:	0.3548387096774194
Probability parameter change:	0.2
seed for RNG:	1247334580

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4883
Proportion perturbed genes:	0.4172077922077922

OUTPUT:
Learnt parameters:
alpha (FPR):	0.3548387096774194
beta (FNR):	0.2838709677419355
q (penalization parameter):	0.001


Best log-likelihood value (mean +- standard deviation across replicates):	-7960.196521391944 +- 1.5151360795546407

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
112	20	14	0.00169	0.00423	1.059e+02	0.252	0.392	GO:0060291
113	38	24	0.00166	0.00497	4.415e+02	0.083	0.494	GO:0030858
114	26	16	0.0016	0.00321	2.158e+02	0.094	0.539	GO:0034333
115	21	13	0.00159	0.00394	1.409e+02	0.109	0.392	GO:0060412
116	22	12	0.00157	0.00412	1.759e+02	-0.007	0.458	GO:0050856
117	27	15	0.00154	0.00463	2.588e+02	0.044	0.493	GO:0046676
118	34	17	0.00151	0.00452	4.425e+02	-0.077	0.576	GO:0006221
119	42	26	0.0015	0.0045	5.524e+02	0.089	0.458	GO:0031100
120	27	15	0.00149	0.004	2.588e+02	0.106	0.434	GO:0031111
121	28	15	0.00142	0.00425	2.867e+02	0.03	0.402	GO:0046058
122	34	22	0.00138	0.00413	3.427e+02	0.108	0.471	GO:0035176
123	27	17	0.00133	0.00253	2.258e+02	0.044	0.572	GO:0045923
124	35	18	0.00132	0.00397	4.595e+02	-0.074	0.537	GO:0007566
125	22	13	0.00131	0.00275	1.629e+02	0.178	0.299	GO:0000819
126	20	15	0.00126	0.00379	9.096e+01	0.167	0.57	GO:0031102
127	20	11	0.00124	0.0032	1.449e+02	0.096	0.402	GO:0030149
128	26	16	0.00121	0.00364	2.158e+02	0.05	0.429	GO:0002702
129	22	13	0.0012	0.00244	1.629e+02	-0.008	0.454	GO:0010799
130	31	16	0.00116	0.00349	3.606e+02	-0.084	0.598	GO:0009452
131	31	19	0.00116	0.00348	3.067e+02	0.121	0.393	GO:0035116
132	20	11	0.00109	0.00253	1.449e+02	-0.068	0.6	GO:0031640
133	32	17	0.00106	0.00318	3.756e+02	-0.084	0.504	GO:0035601
134	28	15	0.00106	0.00281	2.867e+02	-0.037	0.492	GO:0050854
135	39	20	0.00105	0.00316	5.702e+02	-0.106	0.625	GO:0035690
136	23	13	0.00104	0.00226	1.859e+02	0.118	0.444	GO:0036152
137	22	12	0.00102	0.00206	1.759e+02	0.046	0.547	GO:0018200
138	23	13	0.00102	0.00239	1.859e+02	-0.049	0.507	GO:0007062
139	29	16	0.00102	0.00305	2.997e+02	0.036	0.541	GO:0015988
140	20	11	0.00098	0.00294	1.449e+02	-0.075	0.544	GO:0072676
141	26	14	0.00096	0.00288	2.468e+02	0.023	0.469	GO:0032873
142	21	11	0.00094	0.00282	1.659e+02	-0.017	0.533	GO:0051220
143	28	16	0.00094	0.00188	2.708e+02	0.136	0.363	GO:0055006
144	35	20	0.00093	0.00248	4.205e+02	0.101	0.488	GO:0001942
145	35	19	0.00086	0.00259	4.405e+02	0.091	0.422	GO:0030890
146	26	14	0.00086	0.00258	2.468e+02	-0.037	0.597	GO:0043113
147	29	18	0.00085	0.00214	2.648e+02	0.102	0.371	GO:2000278
148	22	12	0.00083	0.00248	1.759e+02	0.039	0.443	GO:0016338
149	24	14	0.00082	0.00246	1.959e+02	0.057	0.42	GO:0042537
150	26	15	0.00082	0.00152	2.318e+02	0.016	0.54	GO:0033144
151	22	13	0.00081	0.00228	1.629e+02	0.065	0.54	GO:0043567
152	50	28	0.0008	0.00241	8.687e+02	0.038	0.549	GO:0006885
153	28	18	0.0008	0.00241	2.358e+02	0.198	0.376	GO:0060674
154	75	41	0.0008	0.0024	1.985e+03	0.091	0.433	GO:0006892
155	22	12	0.0008	0.0024	1.759e+02	0.037	0.506	GO:2000401
156	24	14	0.00079	0.00236	1.959e+02	-0.021	0.494	GO:0050918
157	21	11	0.00077	0.00154	1.659e+02	0.002	0.487	GO:0032715
158	21	11	0.00077	0.00194	1.659e+02	0.018	0.41	GO:0032925
159	24	13	0.00076	0.00185	2.098e+02	0.037	0.5	GO:0007194
160	25	14	0.00075	0.00224	2.208e+02	0.06	0.355	GO:0042311
161	60	35	0.00074	0.00222	1.199e+03	0.186	0.327	GO:0055001
162	40	22	0.00072	0.00216	5.673e+02	0.083	0.411	GO:0032890
163	23	13	0.0007	0.0021	1.859e+02	0.05	0.467	GO:0006662
164	41	21	0.00068	0.00205	6.301e+02	-0.067	0.497	GO:0019748
165	95	56	0.00067	0.00202	2.957e+03	0.084	0.461	GO:0006898
166	20	9	0.00063	0.0019	1.679e+02	-0.062	0.498	GO:0045648
167	27	15	0.00062	0.00186	2.588e+02	0.092	0.481	GO:0001960
168	27	13	0.00061	0.00184	2.887e+02	0.023	0.467	GO:0030449
169	22	11	0.00058	0.00175	1.879e+02	-0.088	0.51	GO:0019933
170	41	22	0.00058	0.00133	6.082e+02	0.041	0.385	GO:0048661
171	22	11	0.00057	0.0017	1.879e+02	0.011	0.392	GO:0030511
