Creation Time:	2023-01-11 15:47:21

INPUT:
File name:	crfe_v019_b1.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human0.4_0.25_2_5_seed_2.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0
threshold type:	levels
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	10000
MCMC steps:	20000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	933477966

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	4711
Proportion perturbed genes:	0.40251196172248804

OUTPUT:
Learnt parameters:
alpha (FPR):	0.4
beta (FNR):	0.275
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7873.512470241893 +- 1.7757132927835302

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
159	25	12	0.00014	0.0004	2.488e+02	-0.066	0.462	GO:0048169
160	43	19	0.00012	0.00038	7.648e+02	-0.029	0.557	GO:0008015
161	34	19	0.00012	0.00038	4.056e+02	-0.006	0.526	GO:0009101
162	104	58	0.00012	0.00038	3.739e+03	0.085	0.462	GO:0090316
163	41	20	0.00012	0.00036	6.521e+02	-0.018	0.502	GO:0008593
164	21	9	0.00012	0.00036	1.908e+02	-0.05	0.371	GO:0046173
165	23	10	0.00012	0.00036	2.258e+02	-0.06	0.635	GO:0090207
166	22	10	0.00012	0.00034	2.008e+02	-0.052	0.445	GO:0061337
167	20	8	0.00011	0.00033	1.808e+02	-0.125	0.475	GO:0002262
168	31	16	0.00011	0.00033	3.606e+02	-0.12	0.574	GO:0035065
169	46	23	0.00011	0.00033	8.048e+02	-0.116	0.571	GO:0046324
170	33	17	0.0001	0.00032	4.086e+02	-0.019	0.579	GO:0032233
171	82	44	0.0001	0.00032	2.408e+03	0.014	0.517	GO:0071158
172	33	16	0.0001	0.00032	4.265e+02	-0.132	0.574	GO:2000756
173	22	11	0.0001	0.0003	1.879e+02	-0.117	0.618	GO:0001702
174	22	10	0.0001	0.0003	2.008e+02	-0.01	0.381	GO:0016338
175	141	72	0.0001	0.0003	7.351e+03	-0.02	0.512	GO:0030098
176	22	11	0.0001	0.0003	1.879e+02	-0.038	0.488	GO:0030201
177	40	20	0.0001	0.0003	6.102e+02	-0.034	0.524	GO:0060401
178	20	9	0.0001	0.0003	1.679e+02	0.015	0.258	GO:0072337
179	88	41	0.0001	0.00028	3.059e+03	-0.075	0.52	GO:0001959
180	20	10	0.0001	0.00028	1.559e+02	0.019	0.478	GO:0051954
181	23	12	9e-05	0.00027	1.988e+02	0.034	0.521	GO:0032369
182	23	11	8e-05	0.00025	2.118e+02	-0.038	0.506	GO:0034605
183	52	27	8e-05	0.00025	9.993e+02	0.051	0.436	GO:0060688
184	25	9	8e-05	0.00024	2.967e+02	-0.288	0.716	GO:0031952
185	21	8	8e-05	0.00024	2.048e+02	-0.249	0.569	GO:0048665
186	69	37	8e-05	0.00024	1.709e+03	-0.001	0.529	GO:0072395
187	37	18	8e-05	0.00023	5.333e+02	0.047	0.419	GO:0001974
188	22	10	8e-05	0.00023	2.008e+02	-0.13	0.592	GO:0006297
189	117	58	8e-05	0.00023	5.174e+03	-0.047	0.487	GO:0048666
190	29	13	7e-05	0.00021	3.486e+02	0.055	0.333	GO:0001838
191	21	9	7e-05	0.00021	1.908e+02	-0.011	0.346	GO:0002720
192	25	12	7e-05	0.00021	2.488e+02	-0.136	0.567	GO:0009065
193	21	8	7e-05	0.00021	2.048e+02	-0.132	0.581	GO:0045616
194	20	8	7e-05	0.00021	1.808e+02	-0.102	0.428	GO:0045851
195	28	15	7e-05	0.00021	2.867e+02	0.108	0.465	GO:2001238
196	57	27	6e-05	0.0002	1.277e+03	-0.105	0.614	GO:0009201
197	23	8	6e-05	0.0002	2.567e+02	-0.117	0.491	GO:0010574
198	34	13	6e-05	0.0002	5.243e+02	-0.129	0.553	GO:0014015
199	61	33	6e-05	0.0002	1.329e+03	0.009	0.466	GO:0032434
200	26	15	6e-05	0.0002	2.318e+02	0.087	0.49	GO:0050869
201	32	14	6e-05	0.00018	4.295e+02	-0.147	0.586	GO:0051489
202	32	14	6e-05	0.00017	4.295e+02	0.038	0.347	GO:0032414
203	22	12	6e-05	0.00017	1.759e+02	0.053	0.418	GO:0060071
204	22	12	6e-05	0.00017	1.759e+02	0.17	0.355	GO:0060765
205	20	10	5e-05	0.00015	1.559e+02	-0.044	0.437	GO:0000381
206	36	18	5e-05	0.00015	4.954e+02	0.009	0.375	GO:0006584
207	22	13	5e-05	0.00015	1.629e+02	0.026	0.524	GO:0006906
208	64	32	4e-05	0.00013	1.550e+03	-0.01	0.534	GO:0007586
209	34	17	4e-05	0.00013	4.425e+02	0.01	0.509	GO:0008154
210	117	63	4e-05	0.00013	4.871e+03	-0.02	0.493	GO:0033044
211	94	44	4e-05	0.00013	3.477e+03	-0.07	0.517	GO:0045471
212	29	16	4e-05	0.00013	2.997e+02	0.106	0.451	GO:0045777
213	26	11	4e-05	0.00012	2.917e+02	-0.041	0.37	GO:0002702
214	24	11	4e-05	0.00012	2.368e+02	-0.188	0.593	GO:0009190
215	35	16	4e-05	0.00012	4.984e+02	-0.102	0.508	GO:0022616
216	22	11	4e-05	0.00012	1.879e+02	0.074	0.468	GO:0060314
217	33	15	3e-05	0.0001	4.455e+02	-0.043	0.431	GO:0002753
218	22	10	3e-05	0.0001	2.008e+02	-0.111	0.659	GO:0048873
219	20	6	3e-05	9e-05	2.098e+02	-0.151	0.434	GO:0001782
220	30	12	3e-05	9e-05	3.995e+02	-0.046	0.416	GO:0032856
221	38	19	3e-05	9e-05	5.513e+02	0.031	0.422	GO:0043392
222	21	12	2e-05	7e-05	1.539e+02	-0.043	0.593	GO:0006110
223	28	15	2e-05	8e-05	2.867e+02	-0.071	0.64	GO:0043114
224	22	10	2e-05	8e-05	2.008e+02	0.074	0.259	GO:0090103
225	25	11	2e-05	6e-05	2.637e+02	-0.087	0.438	GO:0006378
226	22	11	2e-05	6e-05	1.879e+02	0.026	0.505	GO:0018200
227	21	9	2e-05	6e-05	1.908e+02	-0.061	0.395	GO:0050820
228	23	11	1e-05	4e-05	2.118e+02	-0.04	0.65	GO:0050927
229	67	35	1e-05	3e-05	1.646e+03	-0.013	0.526	GO:0006977
230	20	6	1e-05	3e-05	2.098e+02	-0.23	0.509	GO:0030879
231	38	15	0.0	1e-05	6.410e+02	-0.159	0.636	GO:0007595
232	29	15	0.0	1e-05	3.157e+02	0.012	0.539	GO:0016331
233	35	14	0.0	1e-05	5.412e+02	-0.176	0.51	GO:0017144
234	25	9	0.0	1e-05	2.967e+02	-0.129	0.491	GO:0046006
235	26	12	0.0	1e-05	2.757e+02	-0.077	0.547	GO:0046503
236	24	11	0.0	1e-05	2.368e+02	0.005	0.514	GO:0055090
