         13662333 function calls (13516061 primitive calls) in 12.827 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:713(writeOut_MCMC)
        1    0.000    0.000    0.015    0.015 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:39(get_expression_data)
        5    0.000    0.000    0.000    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_object_object}
       19    0.000    0.000    0.004    0.000 {built-in method builtins.print}
       91    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:66(_count_reduce_items)
       89    0.000    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:3322(mean)
      143    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/threading.py:1071(is_alive)
        1    0.000    0.000    0.001    0.001 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/sorting.py:357(nargsort)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/internals/managers.py:2060(_stack_arrays)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:260(_std)
        1    0.000    0.000    0.000    0.000 {pandas._libs.algos.take_2d_axis0_float64_float64}
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:344(_concatenate_chunks)
       10    0.000    0.000    0.000    0.000 {built-in method numpy.empty}
        1    0.000    0.000    0.000    0.000 {method 'take' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.013    0.013 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/readers.py:539(_read)
        1    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:570(delete_too_large_and_too_small_terms)
      6/3    0.000    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:397(__new__)
        3    0.000    0.000    0.000    0.000 {pandas._libs.lib.maybe_convert_objects}
      143    0.000    0.000    0.000    0.000 {method 'acquire' of '_thread.lock' objects}
      143    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/threading.py:1017(_wait_for_tstate_lock)
      134    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:420(_is_master_process)
      143    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:97(_event_pipe)
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_methods.py:195(_var)
      275    0.000    0.000    0.000    0.000 {built-in method builtins.issubclass}
        5    0.000    0.000    0.000    0.000 {built-in method _codecs.utf_8_decode}
      6/5    0.000    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/series.py:323(__init__)
       89    0.000    0.000    0.002    0.000 <__array_function__ internals>:2(mean)
        3    0.000    0.000    0.057    0.019 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:610(loadvar)
      134    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/ipykernel/iostream.py:439(_schedule_flush)
        7    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/construction.py:470(sanitize_array)
        1    0.000    0.000    0.000    0.000 {method 'cumsum' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/function_base.py:23(linspace)
       46    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/common.py:1587(_is_dtype_type)
       90    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/dtypes/generic.py:43(_check)
       14    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/IPython/core/interactiveshell.py:3215(_update_code_co_name)
        1    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:338(<listcomp>)
      156    0.000    0.000    0.000    0.000 {built-in method builtins.getattr}
        8    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/generic.py:239(__init__)
        1    0.000    0.000    0.000    0.000 {method 'flush' of '_io.TextIOWrapper' objects}
        2    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/_bootlocale.py:33(getpreferredencoding)
        5    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/generic.py:5517(__finalize__)
        1    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/common.py:601(get_handle)
       14    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/codeop.py:142(__call__)
        2    0.000    0.000    0.002    0.001 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/frame.py:587(__init__)
        1    0.000    0.000    0.010    0.010 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/io/parsers/c_parser_wrapper.py:215(read)
      136    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
        2    0.000    0.000    0.000    0.000 /var/folders/vj/x8kqzvm90z1952v4_mnj_0txf7n2_z/T/ipykernel_70014/612255022.py:33(discretize)
        3    0.000    0.000    0.001    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/pandas/core/indexes/base.py:672(_with_infer)
       28    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/dis.py:449(findlinestarts)
        4    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/site-packages/numpy/core/numeric.py:2385(array_equal)
      143    0.000    0.000    0.000    0.000 /Users/ckadelka/opt/anaconda3/lib/python3.8/threading.py:513(is_set)
