E-MTAB-9667		ERR4676681	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676683	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676684	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676684	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676684	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676684	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676684	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676684	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676684	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676684	factor	time	24 hour
E-MTAB-9667		ERR4676684	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676684	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676685	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676685	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676685	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676685	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676685	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676685	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676685	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676685	factor	time	24 hour
E-MTAB-9667		ERR4676685	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676685	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676686	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676686	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676686	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676686	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676686	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676686	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676686	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676686	factor	time	24 hour
E-MTAB-9667		ERR4676686	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676686	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676687	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676687	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676687	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676687	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676687	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676687	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676687	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676687	factor	time	24 hour
E-MTAB-9667		ERR4676687	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676687	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676688	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676688	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676688	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676688	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676688	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676688	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676688	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676688	factor	time	24 hour
E-MTAB-9667		ERR4676688	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676688	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676689	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676689	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676689	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676689	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676689	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676689	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676689	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676689	factor	time	24 hour
E-MTAB-9667		ERR4676689	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676689	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676690	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676690	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676690	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676690	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676690	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676690	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676690	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676690	factor	time	24 hour
E-MTAB-9667		ERR4676690	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676690	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676691	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676691	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676691	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676691	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676691	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676691	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676691	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676691	factor	time	24 hour
E-MTAB-9667		ERR4676691	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676691	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676692	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676692	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676692	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676692	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676692	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676692	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676692	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676692	factor	time	24 hour
E-MTAB-9667		ERR4676692	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676692	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676693	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676693	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676693	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676693	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676693	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676693	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676693	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676693	factor	time	24 hour
E-MTAB-9667		ERR4676693	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676693	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676694	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676694	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676694	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676694	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676694	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676694	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676694	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676694	factor	time	24 hour
E-MTAB-9667		ERR4676694	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676694	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676695	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676695	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676695	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676695	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676695	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676695	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676695	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676695	factor	time	24 hour
E-MTAB-9667		ERR4676695	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676695	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676696	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676696	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676696	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676696	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676696	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676696	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676696	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676696	factor	time	24 hour
E-MTAB-9667		ERR4676696	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676696	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676697	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676697	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676697	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676697	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676697	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676697	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676697	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676697	factor	time	48 hour
E-MTAB-9667		ERR4676697	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676697	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676698	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676698	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676698	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676698	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676698	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676698	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676698	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676698	factor	time	48 hour
E-MTAB-9667		ERR4676698	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676698	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676699	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676699	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676699	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676699	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676699	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676699	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676699	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676699	factor	time	48 hour
E-MTAB-9667		ERR4676699	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676699	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676700	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676700	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676700	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676700	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676700	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676700	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676700	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676700	factor	time	48 hour
E-MTAB-9667		ERR4676700	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676700	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676701	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676701	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676701	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676701	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676701	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676701	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676701	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676701	factor	time	48 hour
E-MTAB-9667		ERR4676701	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676701	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676702	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676702	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676702	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676702	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676702	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676702	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676702	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676702	factor	time	48 hour
E-MTAB-9667		ERR4676702	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676702	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676703	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676703	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676703	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676703	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676703	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676703	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676703	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676703	factor	time	48 hour
E-MTAB-9667		ERR4676703	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676703	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676704	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676704	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676704	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676704	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676704	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676704	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676704	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676704	factor	time	48 hour
E-MTAB-9667		ERR4676704	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676704	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676705	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676705	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676705	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676705	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676705	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676705	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676705	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676705	factor	time	48 hour
E-MTAB-9667		ERR4676705	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676705	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676706	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676706	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676706	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676706	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676706	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676706	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676706	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676706	factor	time	48 hour
E-MTAB-9667		ERR4676706	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676706	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676707	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676707	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676707	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676707	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676707	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676707	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676707	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676707	factor	time	48 hour
E-MTAB-9667		ERR4676707	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676707	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676708	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676708	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676708	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676708	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676708	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676708	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676708	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676708	factor	time	48 hour
E-MTAB-9667		ERR4676708	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676708	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676709	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676709	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676709	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676709	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676709	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676709	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676709	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676709	factor	time	48 hour
E-MTAB-9667		ERR4676709	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676709	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676710	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676710	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676710	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676710	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676710	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676710	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676710	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676710	factor	time	48 hour
E-MTAB-9667		ERR4676710	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676710	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676711	characteristic	cell line	hTERT-RPE1
E-MTAB-9667		ERR4676711	characteristic	cell type	epithelial cells	http://purl.obolibrary.org/obo/CL_0000066
E-MTAB-9667		ERR4676711	characteristic	disease	normal	http://purl.obolibrary.org/obo/PATO_0000461
E-MTAB-9667		ERR4676711	characteristic	genotype	wild type genotype
E-MTAB-9667		ERR4676711	characteristic	organism	Homo sapiens	http://purl.obolibrary.org/obo/NCBITaxon_9606
E-MTAB-9667		ERR4676711	characteristic	organism part	pigmented layer of retina	http://purl.obolibrary.org/obo/UBERON_0001782
E-MTAB-9667		ERR4676711	factor	genotype	wild type genotype
E-MTAB-9667		ERR4676711	factor	time	48 hour
E-MTAB-9667		ERR4676711	factor	compound	4-hydroxytamoxifen	http://purl.obolibrary.org/obo/CHEBI_44616
E-MTAB-9667		ERR4676711	factor	dose	400 nanomolar
E-MTAB-9667		ERR4676712	characteristic	cell line	hTERT-RPE1
