GO:0001934	IRGM ODAM CCN1 CDK2AP1 DVL1 DVL2 MUSK MUSK AXIN1 HDAC3 BIRC5 CLDN3 TBX1 PDE8A PLA2G6 ROCK2 SEMA7A FLOT1 RASGRP1 RASGRP1 FGF19 CHEK2 ABL1 EGFR F2 C3 HRAS KRAS TGFB1 TGFB1 IGF2 TNF TNF TNF IL1B IL1B CD4 HLA-DRB1 TFRC CD74 ERBB2 WNT1 NTRK1 APP APP APP APP APP ITGB3 INSR CSF1R HSP90AA1 LYN RAP2A RALB BMP2 BMP2 BMP4 MMP9 ATF2 VEGFA VEGFA PECAM1 PECAM1 ENG EFNA1 EFNA1 CCND1 EDNRB FPR2 FAS MT3 CD40 ACVR2A MAPK3 CCN2 ERP29 CD6 CCND2 CCND3 AKT1 AKT2 FLT4 FLT4 KDR CHRNA7 CDKN1A THPO LEP MAP2K4 CRKL P2RY1 LEPR SOX9 CSNK1D ARRB1 CAMP EFNA5 LIMK2 HSPA2 AIF1 WNT3A WNT3A PPIA RAC1 RACK1 RACK1 RELN ADAM17 PRR5 DAB2 TEK TEK TEK PLAUR PTK2 STK4 PAK1 CLN3 ILK SQSTM1 PIN1 RIPK1 GAS6 GAS6 GAS6 GAS6 GPNMB AGER AGER AGER ERBB4 RALBP1 EPHA7 ANGPT1 TESK1 ADIPOQ NTRK3 NTRK2 RSPO1 CDON TMEM119 CDCA8 LRRK2 LRRK2 PRR5L BRAT1 IL34 ATG14 KNDC1 MAVS IQGAP3 PROM2 CLDN19 FLCN FBH1 FNIP1 ITLN1 PIK3R3 SEMA4D DVL3 MYDGF CLIP3 SIRT1 DTNBP1 AURKB FAXDC2 ADTRP FAM20A FAM20A WDFY2 CAMKK2 FIZ1 GPER1 GPER1 GPER1 NKX3-1 CIB1 RARRES2 CARD14 PINK1 NIBAN1 HIPK2 AKTIP PELI2 INCENP TREM2 EIF2AK4 DAXX MARCO SLCO3A1 TNIK FZD1 LIMCH1 AXIN2 NPTN FGF2 FMR1 VEGFB FGF18 RB1CC1 FGF20 FGF5 FGF9 FGF16 FGF17 FGF23 VEGFD MOB1B RACK1 FGF19 MOB3B MOB2 HGF FGF21 FGF22 VEGFA FGF6 MOB3C WDFY2 FGF3 FGF10 PGF FGF8 FXR1 FGF4 VEGFC MOB3A BRAT1 FXR2 MOB1A FGF1
GO:0034116	FLOT1 TNF TNF IL1B IL1B FGA FGB FGG THY1 LCK CD44 BMP7 IL10 CEACAM6 AGER SKAP1 GCNT2 FGA
GO:1901529	ABCB1 TCAF1 TCAF1
GO:2001046	LAMB1 CD63 CD63 LAMC1 NID1 FLNA LAMA2 LAMA1 EMP2 LAMB2 LOXL3 DMTN LIMS1 LIMS2
GO:0051276	SMCHD1 HAT1 PTTG1 MYC PRM1 PRM2 TP53 RB1 NPR2 NPPC NAA10 LIG4 GEM CDCA8 CENPW PUM2 RAD54L KAT6A CENPT ZNF830 PELO ITPA PTTG3P PTTG2
GO:0036006	PDE2A CSF1R CSF1R FER PDE1B DCSTAMP
GO:0140448	CASP1 BACE1 MEP1A
GO:0033197	CAT ARG1 GPX1 IGF1R ALAD CCND1 LEP FKBP1B BECN1
GO:0033386	GGPS1
GO:1905936	FANCA
GO:0140541	BTBD18
