Creation Time:	2023-01-04 16:51:48

INPUT:
File name:	crfe_v019_b1.py
Annotations file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/human4/human_anno.txt
Gene file:	/Users/JasonJia/Desktop/CRFE/Xinglin_insilico/data/random/random8.txt
lower limit annotations/process:	20
upper limit annotations/process:	200
k (number of perturbed categories):	0 (i.e., each perturbed gene in its own category)
threshold:	0.3
threshold type:	proportion
belief:	1.0
Method:	MCMC with parameter learning with an empty set as initial set
repeats:	10
burnin steps:	25000
MCMC steps:	25000
Maximal value for alpha and beta:	0.5
Maximal possible value for alpha and beta:	0.5
Probability parameter change:	0.2
seed for RNG:	2816570007

Initial set of processes:
Empty set

INPUT ANALYSIS:
Total number of processes:	2291
Total number of genes:	11704
Number of perturbed genes:	3511
Proportion perturbed genes:	0.2999829118250171

OUTPUT:
Learnt parameters:
alpha (FPR):	0.30000000000000004
beta (FNR):	0.5
q (penalization parameter):	0.001 (fixed)


Best log-likelihood value (mean +- standard deviation across replicates):	-7151.61128047244 +- 2.246286209852491e-12

Order	#(Annotations)	#(Annotations of perturbed genes)	Mean Posterior Probability	Standard Deviation Posterior Probability	p-value	Average Expression Level	Average position perturbed genes	Term Name
152	20	7	0.00028	0.00084	1.948e+02	0.61	0.469	GO:0000413
153	47	19	0.00028	0.00084	9.625e+02	0.537	0.498	GO:0048814
154	21	7	0.00027	0.0008	2.198e+02	0.483	0.514	GO:0030239
155	34	13	0.00026	0.00079	5.244e+02	0.501	0.577	GO:0055021
156	22	8	0.00026	0.0007	2.298e+02	0.512	0.471	GO:0003208
157	61	24	0.00026	0.0005	1.638e+03	0.524	0.487	GO:0033273
158	22	10	0.00026	0.0005	2.009e+02	0.612	0.441	GO:1901532
159	21	9	0.00026	0.0006	1.909e+02	0.519	0.595	GO:0034502
160	40	15	0.00026	0.0006	7.300e+02	0.583	0.559	GO:0060401
161	21	8	0.00025	0.00074	2.048e+02	0.542	0.383	GO:0008045
162	20	7	0.00025	0.00074	1.948e+02	0.513	0.363	GO:0007220
163	34	14	0.00025	0.00044	5.024e+02	0.588	0.449	GO:0051865
164	71	30	0.00024	0.00049	2.123e+03	0.564	0.56	GO:0046620
165	20	7	0.00024	0.00071	1.948e+02	0.538	0.496	GO:0033574
166	74	28	0.00024	0.00046	2.454e+03	0.535	0.543	GO:1990267
167	58	25	0.00023	0.00048	1.404e+03	0.62	0.505	GO:0001816
168	30	12	0.00023	0.00068	3.996e+02	0.569	0.4	GO:0022408
169	37	15	0.00023	0.00052	5.992e+02	0.591	0.523	GO:0051148
170	33	13	0.00022	0.00065	4.864e+02	0.516	0.679	GO:0042992
171	25	9	0.00022	0.00045	2.967e+02	0.52	0.457	GO:0006501
172	26	11	0.00022	0.00049	2.917e+02	0.541	0.544	GO:0048013
173	48	17	0.00022	0.00054	1.078e+03	0.541	0.506	GO:0006073
174	23	7	0.00022	0.00043	2.737e+02	0.465	0.592	GO:0048713
175	29	12	0.00022	0.00043	3.666e+02	0.546	0.505	GO:0050690
176	32	11	0.00021	0.00035	4.924e+02	0.547	0.517	GO:0008209
177	38	14	0.00021	0.00064	6.661e+02	0.539	0.447	GO:0009311
178	43	18	0.00021	0.00042	7.909e+02	0.558	0.481	GO:0045682
179	25	9	0.00021	0.00042	2.967e+02	0.55	0.227	GO:0070534
180	25	9	0.00021	0.00049	2.967e+02	0.563	0.479	GO:0001958
181	36	14	0.00021	0.00062	5.813e+02	0.514	0.378	GO:0055081
182	23	10	0.0002	0.00061	2.258e+02	0.548	0.492	GO:0019835
183	20	8	0.0002	0.00056	1.809e+02	0.573	0.467	GO:0030879
184	53	22	0.0002	0.00061	1.202e+03	0.573	0.538	GO:0046427
185	30	9	0.0002	0.00045	4.624e+02	0.544	0.423	GO:0072175
186	20	6	0.0002	0.00039	2.098e+02	0.552	0.387	GO:0006595
187	128	53	0.0002	0.00038	6.929e+03	0.592	0.441	GO:0044262
188	28	9	0.00019	0.00058	3.916e+02	0.49	0.47	GO:0006779
189	40	15	0.00019	0.00042	7.300e+02	0.562	0.424	GO:0010717
190	20	6	0.00019	0.00042	2.098e+02	0.566	0.395	GO:0002825
191	25	9	0.00019	0.00026	2.967e+02	0.557	0.314	GO:0001937
192	34	11	0.00019	0.00047	5.712e+02	0.516	0.517	GO:0045840
193	21	7	0.00019	0.00056	2.198e+02	0.512	0.647	GO:0045987
194	23	9	0.00018	0.00034	2.408e+02	0.559	0.466	GO:0006270
195	26	10	0.00018	0.00045	3.087e+02	0.511	0.586	GO:0044774
196	46	17	0.00018	0.00054	9.694e+02	0.532	0.419	GO:0006369
197	24	9	0.00018	0.00037	2.678e+02	0.525	0.514	GO:0007492
198	41	17	0.00018	0.00037	7.240e+02	0.581	0.616	GO:0002200
199	94	38	0.00018	0.00037	3.803e+03	0.564	0.441	GO:0002495
200	23	8	0.00018	0.00051	2.568e+02	0.469	0.591	GO:0045214
201	39	15	0.00018	0.00045	6.851e+02	0.514	0.554	GO:0060420
202	28	12	0.00017	0.00048	3.347e+02	0.547	0.445	GO:0016574
203	23	9	0.00017	0.00041	2.408e+02	0.511	0.64	GO:0044773
204	30	10	0.00017	0.0005	4.405e+02	0.503	0.479	GO:0032508
205	21	10	0.00017	0.00034	1.779e+02	0.596	0.466	GO:0045616
206	21	7	0.00017	0.00037	2.198e+02	0.511	0.246	GO:0002040
207	40	15	0.00016	0.00049	7.300e+02	0.534	0.526	GO:0031018
208	22	8	0.00016	0.00032	2.298e+02	0.547	0.443	GO:0046688
209	20	7	0.00016	0.00032	1.948e+02	0.558	0.392	GO:2000108
210	20	7	0.00016	0.00031	1.948e+02	0.545	0.702	GO:0045851
211	22	7	0.00016	0.00032	2.458e+02	0.511	0.557	GO:0090103
212	35	12	0.00016	0.00037	5.882e+02	0.505	0.373	GO:0002062
213	21	8	0.00016	0.00047	2.048e+02	0.554	0.318	GO:0032715
214	24	8	0.00016	0.00036	2.847e+02	0.601	0.393	GO:0035162
215	57	23	0.00015	0.00031	1.411e+03	0.551	0.506	GO:0003143
216	21	8	0.00015	0.00026	2.048e+02	0.555	0.571	GO:0071385
217	33	12	0.00015	0.00033	5.084e+02	0.563	0.377	GO:0010770
218	20	7	0.00015	0.00032	1.948e+02	0.462	0.451	GO:0015721
219	23	8	0.00015	0.00044	2.568e+02	0.521	0.432	GO:0033146
220	27	10	0.00014	0.00043	3.397e+02	0.508	0.644	GO:0042517
221	20	6	0.00014	0.00031	2.098e+02	0.479	0.37	GO:0046461
222	36	12	0.00014	0.00033	6.301e+02	0.528	0.654	GO:0032330
223	26	8	0.00014	0.00042	3.456e+02	0.567	0.308	GO:0032732
224	23	9	0.00014	0.00042	2.408e+02	0.511	0.516	GO:0050974
225	22	6	0.00014	0.00041	2.627e+02	0.453	0.316	GO:0044089
226	22	9	0.00013	0.00025	2.148e+02	0.501	0.645	GO:0006906
227	49	19	0.00013	0.00026	1.070e+03	0.549	0.459	GO:0007368
228	40	15	0.00013	0.00027	7.300e+02	0.54	0.554	GO:0048639
229	51	21	0.00013	0.00038	1.119e+03	0.548	0.518	GO:0001947
230	29	10	0.00013	0.00038	4.056e+02	0.469	0.511	GO:0016331
231	35	13	0.00013	0.00026	5.643e+02	0.575	0.389	GO:0032312
232	45	16	0.00012	0.00037	9.474e+02	0.579	0.489	GO:0001837
233	23	7	0.00012	0.00025	2.737e+02	0.549	0.487	GO:0044062
234	20	8	0.00012	0.00037	1.809e+02	0.496	0.538	GO:0060045
235	50	20	0.00012	0.00033	1.094e+03	0.601	0.568	GO:0010830
236	23	9	0.00012	0.00035	2.408e+02	0.553	0.259	GO:0032892
237	25	9	0.00012	0.00035	2.967e+02	0.547	0.501	GO:0042181
238	33	13	0.00012	0.00029	4.864e+02	0.573	0.448	GO:0071326
239	20	6	0.00011	0.00027	2.098e+02	0.505	0.379	GO:0097035
240	24	8	0.00011	0.00034	2.847e+02	0.56	0.346	GO:0001892
241	84	32	0.00011	0.00034	3.144e+03	0.54	0.563	GO:0033365
242	21	6	0.00011	0.00034	2.358e+02	0.567	0.658	GO:0035710
243	21	6	0.00011	0.00034	2.358e+02	0.522	0.117	GO:0042116
244	29	12	0.00011	0.00034	3.666e+02	0.52	0.554	GO:0060043
245	22	7	0.00011	0.00022	2.458e+02	0.539	0.324	GO:0045686
246	22	8	0.00011	0.00022	2.298e+02	0.545	0.34	GO:0051293
247	98	38	0.0001	0.00027	4.229e+03	0.539	0.526	GO:0006487
248	25	9	0.0001	0.00022	2.967e+02	0.521	0.519	GO:0050691
249	43	17	0.0001	0.00031	8.178e+02	0.574	0.564	GO:0043525
250	42	17	0.0001	0.00031	7.699e+02	0.554	0.604	GO:0048284
251	22	7	0.0001	0.00031	2.458e+02	0.524	0.409	GO:0051926
252	22	6	0.0001	0.00031	2.627e+02	0.515	0.474	GO:0061005
253	20	6	0.0001	0.00029	2.098e+02	0.463	0.486	GO:0002833
254	20	5	0.0001	0.0003	2.258e+02	0.461	0.491	GO:0006949
255	32	14	0.0001	0.0003	4.296e+02	0.574	0.67	GO:0016445
256	23	9	0.0001	0.0003	2.408e+02	0.613	0.32	GO:0042755
257	20	7	0.0001	0.0003	1.948e+02	0.509	0.562	GO:0045940
258	22	8	0.0001	0.0002	2.298e+02	0.54	0.433	GO:0051491
259	23	9	0.0001	0.0002	2.408e+02	0.474	0.517	GO:1900449
260	29	10	0.0001	0.00016	4.056e+02	0.486	0.601	GO:2000179
261	42	16	0.0001	0.00027	7.968e+02	0.54	0.418	GO:0007249
262	30	12	0.0001	0.00029	3.996e+02	0.541	0.491	GO:0010660
263	22	7	0.0001	0.00029	2.458e+02	0.484	0.186	GO:0017145
264	32	11	0.0001	0.00029	4.924e+02	0.519	0.33	GO:0031572
265	32	9	0.0001	0.00029	5.393e+02	0.475	0.633	GO:0048706
266	21	8	0.0001	0.0002	2.048e+02	0.472	0.789	GO:0045453
267	62	22	9e-05	0.00028	1.787e+03	0.523	0.443	GO:0009062
268	26	6	9e-05	0.0002	3.865e+02	0.385	0.461	GO:0032873
269	34	12	9e-05	0.00028	5.473e+02	0.516	0.667	GO:0035115
270	20	6	9e-05	0.00025	2.098e+02	0.424	0.641	GO:0048857
271	35	14	9e-05	0.00022	5.413e+02	0.555	0.505	GO:0051058
272	32	11	9e-05	0.00028	4.924e+02	0.53	0.425	GO:0051353
273	22	6	9e-05	0.00028	2.627e+02	0.506	0.406	GO:0060765
274	20	6	9e-05	0.00025	2.098e+02	0.456	0.536	GO:0072676
275	31	11	9e-05	0.00028	4.555e+02	0.526	0.442	GO:0097581
276	24	5	9e-05	0.00026	3.416e+02	0.482	0.664	GO:0001539
277	22	6	9e-05	0.00026	2.627e+02	0.451	0.543	GO:0035249
278	24	7	9e-05	0.00019	3.027e+02	0.57	0.522	GO:0050922
279	28	10	9e-05	0.00026	3.716e+02	0.528	0.386	GO:0060348
280	42	14	8e-05	0.00025	8.536e+02	0.555	0.605	GO:0001658
281	51	21	8e-05	0.00017	1.119e+03	0.533	0.552	GO:0006970
282	26	8	8e-05	0.00025	3.456e+02	0.491	0.592	GO:0007215
283	21	9	8e-05	0.00025	1.909e+02	0.608	0.336	GO:0031670
284	26	7	8e-05	0.00025	3.656e+02	0.447	0.495	GO:0046132
285	29	9	8e-05	0.00025	4.265e+02	0.456	0.437	GO:0046513
286	35	13	8e-05	0.00021	5.643e+02	0.565	0.585	GO:0048871
287	22	6	8e-05	0.00025	2.627e+02	0.462	0.69	GO:0051898
288	20	4	8e-05	0.00025	2.428e+02	0.419	0.144	GO:0051962
289	27	10	8e-05	0.00025	3.397e+02	0.514	0.53	GO:0055007
290	23	10	8e-05	0.00025	2.258e+02	0.531	0.612	GO:0071695
291	23	7	8e-05	0.00021	2.737e+02	0.474	0.599	GO:0007176
292	22	8	8e-05	0.00016	2.298e+02	0.546	0.299	GO:0048710
293	22	9	8e-05	0.00024	2.148e+02	0.582	0.442	GO:0048873
294	41	15	8e-05	0.00016	7.769e+02	0.555	0.378	GO:0051588
295	65	25	8e-05	0.00023	1.881e+03	0.566	0.542	GO:0006368
296	28	9	8e-05	0.00023	3.916e+02	0.546	0.437	GO:0009225
297	96	37	8e-05	0.00014	4.073e+03	0.527	0.51	GO:0032526
298	32	12	8e-05	0.00019	4.705e+02	0.545	0.615	GO:0045620
299	20	8	8e-05	0.00023	1.809e+02	0.551	0.475	GO:0045773
300	40	13	8e-05	0.00015	7.848e+02	0.565	0.433	GO:0045778
301	28	10	8e-05	0.00023	3.716e+02	0.58	0.328	GO:0046058
302	27	8	8e-05	0.00015	3.786e+02	0.483	0.37	GO:0046676
303	23	6	8e-05	0.00023	2.917e+02	0.467	0.501	GO:0048512
304	39	13	7e-05	0.00022	7.379e+02	0.532	0.355	GO:0008088
305	21	8	7e-05	0.0002	2.048e+02	0.558	0.495	GO:0009651
306	76	27	7e-05	0.00022	2.674e+03	0.54	0.47	GO:0032680
307	26	8	7e-05	0.00014	3.456e+02	0.494	0.454	GO:0033144
308	50	19	7e-05	0.00022	1.126e+03	0.534	0.455	GO:0034103
309	65	24	7e-05	0.00022	1.923e+03	0.548	0.492	GO:0044264
310	76	27	7e-05	0.0002	2.674e+03	0.514	0.478	GO:0009156
311	30	9	7e-05	0.0002	4.624e+02	0.479	0.466	GO:0018149
312	21	6	7e-05	0.0002	2.358e+02	0.563	0.31	GO:0031114
313	21	6	7e-05	0.0002	2.358e+02	0.562	0.547	GO:0043300
314	38	12	7e-05	0.00014	7.189e+02	0.52	0.495	GO:0051225
315	92	35	7e-05	0.0002	3.769e+03	0.534	0.59	GO:1901606
316	80	31	6e-05	0.00019	2.827e+03	0.513	0.57	GO:0001568
317	80	30	6e-05	0.00019	2.878e+03	0.525	0.479	GO:0009124
318	35	13	6e-05	0.00019	5.643e+02	0.531	0.411	GO:0030890
319	32	12	6e-05	0.00019	4.705e+02	0.545	0.467	GO:0040018
